Calculation: 62000000, x = 0.000000, y = 0.000000
Calculation: 61000000, x = 0.000000, y = 0.000000
Calculation: 63000000, x = 0.000000, y = 0.000000
Calculation: 62000000, x = 0.000000, y = 0.000000
Calculation: 64000000, x = 0.000000, y = 0.000000
Calculation: 63000000, x = 0.000000, y = 0.000000
Calculation: 65000000, x = 0.000000, y = 0.000000
Calculation: 64000000, x = 0.000000, y = 0.000000
Calculation: 66000000, x = 0.000000, y = 0.000000
Calculation: 65000000, x = 0.000000, y = 0.000000
Calculation: 66000000, x = 0.000000, y = 0.000000
Calculation: 67000000, x = 0.000000, y = 0.000000
Calculation: 67000000, x = 0.000000, y = 0.000000
Calculation: 68000000, x = 0.000000, y = 0.000000
Calculation: 68000000, x = 0.000000, y = 0.000000
Calculation: 69000000, x = 0.000000, y = 0.000000
Calculation: 69000000, x = 0.000000, y = 0.000000
Calculation: 70000000, x = 0.000000, y = 0.000000
Calculation: 70000000, x = 0.000000, y = 0.000000
Calculation: 71000000, x = 0.000000, y = 0.000000
Calculation: 71000000, x = 0.000000, y = 0.000000
Calculation: 72000000, x = 0.000000, y = 0.000000
Calculation: 72000000, x = 0.000000, y = 0.000000
Calculation: 73000000, x = 0.000000, y = 0.000000
Calculation: 73000000, x = 0.000000, y = 0.000000
Calculation: 74000000, x = 0.000000, y = 0.000000
Calculation: 74000000, x = 0.000000, y = 0.000000
Calculation: 75000000, x = 0.000000, y = 0.000000
Calculation: 75000000, x = 0.000000, y = 0.000000
Calculation: 76000000, x = 0.000000, y = 0.000000
Calculation: 76000000, x = 0.000000, y = 0.000000
Calculation: 77000000, x = 0.000000, y = 0.000000
Calculation: 77000000, x = 0.000000, y = 0.000000
Calculation: 78000000, x = 0.000000, y = 0.000000
Calculation: 78000000, x = 0.000000, y = 0.000000
Calculation: 79000000, x = 0.000000, y = 0.000000
Calculation: 79000000, x = 0.000000, y = 0.000000
Calculation: 80000000, x = 0.000000, y = 0.000000
Calculation: 81000000, x = 0.000000, y = 0.000000
Calculation: 80000000, x = 0.000000, y = 0.000000
Calculation: 82000000, x = 0.000000, y = 0.000000
Calculation: 81000000, x = 0.000000, y = 0.000000
Calculation: 83000000, x = 0.000000, y = 0.000000
Calculation: 82000000, x = 0.000000, y = 0.000000
Calculation: 84000000, x = 0.000000, y = 0.000000
Calculation: 83000000, x = 0.000000, y = 0.000000
Calculation: 85000000, x = 0.000000, y = 0.000000
Calculation: 84000000, x = 0.000000, y = 0.000000
Calculation: 86000000, x = 0.000000, y = 0.000000
Calculation: 85000000, x = 0.000000, y = 0.000000
Calculation: 87000000, x = 0.000000, y = 0.000000
Calculation: 88000000, x = 0.000000, y = 0.000000
Calculation: 86000000, x = 0.000000, y = 0.000000
Calculation: 89000000, x = 0.000000, y = 0.000000
Calculation: 87000000, x = 0.000000, y = 0.000000
Calculation: 90000000, x = 0.000000, y = 0.000000
Calculation: 88000000, x = 0.000000, y = 0.000000
Calculation: 91000000, x = 0.000000, y = 0.000000
Calculation: 89000000, x = 0.000000, y = 0.000000
